,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
18,8wGISYjYkE2tSqn3cDMu8A,Nifty Car Rental,1241 Airline Dr,Kenner,PA,70062,29.981183,-90.2540123,3.5,14,1,,"Automotive, Car Rental, Hotels & Travel, Truck Rental","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '9:0-15:0', 'Sunday': '9:0-12:0'}"
34,w_AMNoI1iG9eay7ncmc67w,River 127,100 Iberville St,New Orleans,PA,70130,29.951359,-90.0646715,3.0,12,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'no'"", 'RestaurantsPriceRange2': '2'}","Event Planning & Services, Hotels, Hotels & Travel",
55,xM6LoUcnpDpMBzXs_7dXAg,Fairfield Inn & Suites,719 E Baltimore Pike,Kennett Square,AB,19348,39.8562475317,-75.6946098804,3.0,37,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels, Hotels & Travel, Event Planning & Services",
65,uczmbBk5O3tYhGue13dCDg,New Orleans Spirit Tours,723 St Peter St,New Orleans,IN,70130,29.958431,-90.065173,4.0,38,1,"{'WiFi': ""u'no'""}","Hotels & Travel, Tours, Local Flavor","{'Monday': '0:0-0:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0', 'Sunday': '10:0-20:0'}"
67,eYxGFkxo6m3SYGVTh5m2nQ,Big Boyz Toyz Motorcycle Rentals,4158 E Grant Rd,Tucson,PA,85712,32.2503237,-110.9036553,4.5,8,1,,"Towing, Hotels & Travel, Automotive, Motorcycle Rental, Motorcycle Gear, Shopping","{'Monday': '8:30-18:0', 'Tuesday': '8:30-18:0', 'Wednesday': '8:30-18:0', 'Thursday': '8:30-18:0', 'Friday': '8:30-18:0', 'Saturday': '9:0-16:0'}"
112,sB45WFgysT617bKWP_WJwA,Budweiser Brewery Experience,1200 Lynch St,Saint Louis,PA,63118,38.6001971,-90.2135377,4.5,605,1,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'False', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'True'}","Bars, Beer Gardens, Food, Breweries, Nightlife, Tours, Pubs, Wine Tours, Beer Tours, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
143,-aeZuatjCDMV1X4gCTz9Ug,David Thomas Trailways,14005 McNulty Rd,Philadelphia,FL,19154,40.1064092,-74.9739371,4.5,6,1,"{'WiFi': ""u'free'""}","Buses, Transportation, Bus Tours, Hotels & Travel, Travel Agents, Travel Services, Airport Shuttles, Tours, Public Transportation","{'Monday': '8:30-17:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:30-17:0', 'Friday': '8:30-17:0'}"
155,hUQ9Z7kQeabvhPOAQOVV1A,Rathbone Mansions,1244 Esplanade Ave,New Orleans,IN,70116,29.9670548,-90.0658282,3.5,67,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Hotels, Hotels & Travel, Bed & Breakfast, Event Planning & Services",
181,ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,2800 Opryland Dr,Nashville,NV,37214,36.2115923083,-86.6943191727,3.0,1639,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '3', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'very_loud'"", 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsBitcoin': 'False', 'Music': ""{'dj': True, 'background_music': True, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BYOBCorkage': ""'no'"", 'Smoking': ""u'outdoor'"", 'BYOB': 'True', 'RestaurantsTableService': 'True', 'Caters': 'True', 'Alcohol': ""'full_bar'"", 'DogsAllowed': 'False', 'WheelchairAccessible': 'True', 'HappyHour': 'True', 'GoodForDancing': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"", 'WiFi': ""u'paid'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': True, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'CoatCheck': 'True'}","Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
197,znL4YrNbA2uwOQ3CchkmEA,Seaview Condominiums,14700 Gulf Blvd,Madeira Beach,PA,33708,27.798503,-82.7987502,4.5,8,1,{'BusinessAcceptsCreditCards': 'True'},"Home Services, Vacation Rentals, Real Estate, Condominiums, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '9:0-16:0', 'Wednesday': '9:0-16:0', 'Thursday': '9:0-16:0', 'Friday': '9:0-16:0', 'Saturday': '9:0-18:0', 'Sunday': '10:0-16:0'}"
211,Nh1rc9aSeO-Y5lYmXVS6CA,Quality Inn Nashville Downtown - Stadium,303 Interstate Dr,Nashville,AZ,37213,36.1688337591,-86.766910851,2.0,53,1,"{'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Hotels & Travel, Event Planning & Services, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
219,25Uww0C0wvF9CZ_3B6vWtA,Enjoy The Mountain,1 Garden St,Santa Barbara,AZ,93105,34.4143420056,-119.6873324599,4.5,48,1,"{'WheelchairAccessible': 'True', 'BikeParking': 'True', 'ByAppointmentOnly': 'True', 'DogsAllowed': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'free'""}","Motorcycle Rental, Tours, Hiking, Mountain Biking, ATV Rentals/Tours, RV Rental, Hotels & Travel, Arts & Entertainment, Active Life","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
246,MyE_zdul_JO-dOHOug4GQQ,Watson Adventures Scavenger Hunts,,Philadelphia,FL,19019,40.1197128,-75.0097103,3.0,8,1,{'BusinessAcceptsCreditCards': 'True'},"Local Flavor, Team Building Activities, Active Life, Arts & Entertainment, Event Planning & Services, Walking Tours, Scavenger Hunts, Museums, Hotels & Travel, Tours","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}"
259,vjLSYNGFkPu4Y5HKoJlzYg,Rancho 777,777 E 4th St,Reno,FL,89512,39.5323474847,-119.804255405,2.0,5,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '3', 'WiFi': ""u'free'""}","Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
268,xloFoRiYlH4IKGz3FhTDpA,1-275 Rest Area Manatee County Mile 7,13018 Rest Area,Terra Ceia,LA,34250,27.5843003458,-82.6139500829,4.0,5,1,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'no'""}","Hotels, Rest Stops, Event Planning & Services, Hotels & Travel",
288,usv5G5cO314pPHRTGq2Eyw,Best Tours,,Philadelphia,PA,19019,40.1197128,-75.0097103,1.0,38,1,,"Tours, Walking Tours, Hotels & Travel, Food Tours",
298,6I_DA3uqOox50rBvjrQ_-g,Aloft Philadelphia Airport,4301 Island Ave,Philadelphia,AZ,19153,39.8911246892,-75.2342512699,3.0,175,1,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'True', 'BusinessAcceptsBitcoin': 'False'}","Event Planning & Services, Hotels & Travel, Hotels, Venues & Event Spaces","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
341,bwL2TymVrYekkkKztKyiwA,Bourgoyne Guest House,839 Bourbon St,New Orleans,PA,70116,29.960205,-90.064396,4.0,7,1,,"Guest Houses, Hotels & Travel",
350,Qa1YQzo00sm9O0JUlwdCQw,Taste of Nawlins,504 Madison St,New Orleans,TN,70116,29.9580151,-90.0618951,4.0,178,1,,"Historical Tours, Tours, Hotels & Travel, Food Tours, Walking Tours","{'Monday': '9:0-22:0', 'Tuesday': '9:0-22:0', 'Wednesday': '9:0-22:0', 'Thursday': '9:0-22:0', 'Friday': '9:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '9:0-22:0'}"
