,name,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,state,relative_results,url,category_hotel
175,Basecamp Guesthouse,"Basecamp Guesthouse, 49010 SE Middle Fork Rd, North Bend, WA 98045",0x54907fca2751e187:0x3d6ae31ac18da483,,47.471331899999996,-121.68692779999999,['Hotel'],5.0,8,,,,,"['0x54907c35e89f333f:0x121a0cbfbbb39d3a', '0x549a79d6f69e8c53:0x4c5b85bfe71be1a3', '0x54907e6a4f2e1133:0xa8b3edc2958c1c69', '0x549087510a43ca59:0x6313035400950b95']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x54907fca2751e187:0x3d6ae31ac18da483?authuser=-1&hl=en&gl=us,Hotel
3611,Sugar River Loft,"Sugar River Loft, 929 W Exchange St, Brodhead, WI 53520",0x88062b28cb53ef6d:0x94df72568fddf391,,42.6198617,-89.3778904,['Hotel'],4.7,8,,,,,"['0x88062b123701348f:0x5c12c6134b41325', '0x88062b5e004658a3:0x862f23255afde664', '0x8807d27e5c960381:0x20decfd6031e9c3c', '0x8807cd623d6f6771:0xd77c2e61d6a6e840', '0x880630cc14e0c009:0xff79ad3f5690eb27']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88062b28cb53ef6d:0x94df72568fddf391?authuser=-1&hl=en&gl=us,Hotel
3828,Meraki Lodge,"Meraki Lodge, 223 Meraki Ln, Manson, WA 98831",0x549b9d4ad8f113d5:0x8258a10cca866a62,,47.887652499999994,-120.12037559999999,"['Hotel', 'Group accommodation', 'Lodge', 'Motel']",4.9,15,,,,,"['0x549b9dd7e3512cd1:0x35541a27ae39f6df', '0x549b9dd43b4f95f5:0x40d73fccf872ebe', '0x549b9dd42be2e9a9:0x878b82a88f8d5851', '0x549b9dd42be2e9a9:0x13f49305156f3817', '0x549b9db4d73626a3:0x348e8f7106d3be41']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x549b9d4ad8f113d5:0x8258a10cca866a62?authuser=-1&hl=en&gl=us,Hotel
3830,View House at Lake Chelan,"View House at Lake Chelan, 245 Summerset Blvd, Manson, WA 98831",0x549b9db4d73626a3:0x348e8f7106d3be41,,47.888290999999995,-120.12411999999999,['Hotel'],4.4,8,,,,,"['0x549b9dd43b4f95f5:0x40d73fccf872ebe', '0x549b9b05a145692d:0x9f4ee21c3dd739f', '0x549b9da74fd514f3:0x82c888ab133ee060', '0x549b9dd7e3512cd1:0x35541a27ae39f6df', '0x549b9dd42be2e9a9:0x13f49305156f3817']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x549b9db4d73626a3:0x348e8f7106d3be41?authuser=-1&hl=en&gl=us,Hotel
4834,Kings Island Resort And Conference Center,"Kings Island Resort And Conference Center, 5691 Kings Island Dr, Mason, OH 45040",0x8840f7fb054383e1:0xc000c04af5bff671,"No-frills hotel with flexible meeting spaces, indoor & outdoor pools, sport courts & a lake.",39.3550606,-84.264094,"['Hotel', 'Conference center', 'Resort hotel']",2.8,28,,,,,"['0x8840f7e3ae6e1e9b:0x2b10e2ab753dfb92', '0x8840f73573a77ed1:0x5a06d4bf74dd50fe', '0x8840f7e53628a70b:0x865e2cfde0a3b1e9']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8840f7fb054383e1:0xc000c04af5bff671?authuser=-1&hl=en&gl=us,Hotel
5346,"Garden City, SC","Garden City, SC, Murrells Inlet, SC 29576",0x890040a328107fdd:0xeae6f2337638588d,,33.5925407,-79.0093231,['Hotel'],3.0,2,,,,,"['0x890040b5c1a10fb9:0xbdbe91c041091d5f', '0x890040c61f9b3163:0x68a01e7f0767c459', '0x890040c5d9ad17df:0x8e915f5c503bcfc7', '0x890040c628cde927:0x4356360dbfc9f341', '0x890040c470454465:0xaa712306bdd5d809']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x890040a328107fdd:0xeae6f2337638588d?authuser=-1&hl=en&gl=us,Hotel
5391,Garden City Kansas,"Garden City Kansas, Garden City, KS 67846",0x8709f120d869b509:0xf91d47979d8eb35b,,38.0500283,-100.8478866,['Hotel'],4.3,8,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8709f120d869b509:0xf91d47979d8eb35b?authuser=-1&hl=en&gl=us,Hotel
6721,Howard Johnson Inn Cincinnati,"Howard Johnson Inn Cincinnati, 400 Glensprings Dr, Cincinnati, OH 45246",0x88404e8cd7f757e3:0x453c26c3a9a95f28,"Unfussy hotel with modest rooms & suites, free continental breakfast & Wi-Fi, plus an outdoor pool.",39.293253299999996,-84.4875132,"['Hotel', 'Inn', 'Lodge', 'Motel']",1.8,18,,,,,"['0x88404ef6b96cff1b:0x9a15179bfb005f66', '0x88405220c0df844b:0x1492c3f502fd08a7', '0x88404e1de9b60e11:0x2fa0fc0f0fe0063d']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88404e8cd7f757e3:0x453c26c3a9a95f28?authuser=-1&hl=en&gl=us,Hotel
6842,Ski Hill 36 by Pinnacle Lodging,"Ski Hill 36 by Pinnacle Lodging, 250 Ski Hill Rd, Breckenridge, CO 80424",0x876af72c9048cd0b:0x102ccc701ed7e416,,39.482306,-106.04967699999999,"['Hotel', 'Lodge', 'Vacation home rental agency']",5.0,1,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x876af72c9048cd0b:0x102ccc701ed7e416?authuser=-1&hl=en&gl=us,Hotel
7903,Kasa Charlotte FreeMoreWest,"Kasa Charlotte FreeMoreWest, 2020 Morton St, Charlotte, NC 28208",0x8856a1dedb2e9e7d:0xc18c20b72da2e705,,35.224396999999996,-80.87187999999999,['Hotel'],5.0,8,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8856a1dedb2e9e7d:0xc18c20b72da2e705?authuser=-1&hl=en&gl=us,Hotel
