,state,name_hotel,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,MISC,relative_results,url
0,Alabama,Holiday Inn Express & Suites Fultondale,"Holiday Inn Express & Suites Fultondale, 1733 Fulton Rd, Fultondale, AL 35068",0x88890491e9416625:0x2f85307a06ddb16,"Unfussy rooms & suites in a relaxed hotel offering free breakfast, an outdoor pool & a hot tub.",33.609813599999995,-86.80773339999999,['Hotel'],3.7,38,,"['0x88890492ef4ca701:0x34f0c46c887eaf73', '0x888904f2ba5b7bb3:0xd58cfd66c5e4859d', '0x888904f2ca705d9f:0xc4d19c3b0e5a75e7', '0x88890e32f0deb9cd:0x7cb24d2761d75019']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88890491e9416625:0x2f85307a06ddb16?authuser=-1&hl=en&gl=us
1,Alabama,Budgetel Inn,"Budgetel Inn, 2201 Memorial Pkwy NW, Huntsville, AL 35810",0x88626b3eef6314db:0x1c0b19d1d69d1d24,,34.7522741,-86.59727,['Hotel'],2.7,74,,"['0x88626b3eb9167bb3:0xf33d2565718a284d', '0x88626b41c59cc375:0x1477cdb92057e662', '0x88626b8cd3c0cdf7:0x6032eff56d6c4750', '0x886269391879e98f:0x1bde692a961113ae', '0x88626b9f3fdfeab5:0x46aaf011a048b65b']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88626b3eef6314db:0x1c0b19d1d69d1d24?authuser=-1&hl=en&gl=us
2,Alabama,Windwood Inn,"Windwood Inn, 610 McMeans Ave, Bay Minette, AL 36507",0x889a8a0f16241c7d:0xae32fa59c5d63398,"Budget pick offering free continental breakfast, fridges & microwaves in-room & a pool.",30.8840186,-87.78685779999999,['Hotel'],3.3,74,,"['0x889a89e8488b1949:0x6fc6bed199865bf8', '0x889a8bf073722a69:0xf39e167408f7640a', '0x889a61fc1c420ccd:0x28d647e14860a1cc', '0x889a61f673b49c45:0xd4a0bc5958b3da79', '0x889a61583e7d9bbd:0x879c9a919272d9db']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x889a8a0f16241c7d:0xae32fa59c5d63398?authuser=-1&hl=en&gl=us
3,Alabama,Magnuson Hotel and Suites Gulf Shores,"Magnuson Hotel and Suites Gulf Shores, 213 W Fort Morgan Rd, Gulf Shores, AL 36542",0x889a04ce45e4b54b:0x69dd99eebda77346,"Simple lodging with free breakfast, Wi-Fi & parking, plus an indoor pool & a business center.",30.263771,-87.690777,"['Hotel', 'Inn']",2.5,58,,"['0x889a04be6fe91067:0x6771e02bc3291451', '0x889a052f5c11989d:0x82f1362fb4bdf60d', '0x889a0e16a58235bf:0x67d70a2fe328b3a7', '0x889a04d064160bb5:0x696b0673b1b065db']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x889a04ce45e4b54b:0x69dd99eebda77346?authuser=-1&hl=en&gl=us
4,Alabama,Alabama Hotel- Montgomery Alabama Hotel,"Alabama Hotel- Montgomery Alabama Hotel, 5924 Monticello Dr, Montgomery, AL 36117",0x888c2bb7a8415399:0xd3ab0a1ce1f7053b,"Straightforward suites with pull-out sofas, microwaves & minifridges, plus free Wi-Fi & breakfast.",32.364768999999995,-86.2078094,"['Hotel', 'Lodging']",3.4,208,,"['0x888c2bb64370fa4f:0xb283c9cccc5b4c01', '0x888c2a4ce8d76435:0x32ff1767712edb0']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x888c2bb7a8415399:0xd3ab0a1ce1f7053b?authuser=-1&hl=en&gl=us
5,Alabama,Super 8 Florence,"Super 8 Florence, 101 Florence Blvd, Killen, AL 35645",0x887d356effe59177:0xa600d735cbfea236,"Simple hotel offering free Wi-Fi & breakfast, along with an outdoor pool & guest laundry facilities.",34.85257,-87.5673796,"['Hotel', 'Inn', 'Lodge']",3.7,58,,"['0x887d356fab4106ab:0xe2aa0a6b7882d18d', '0x887d49ced54eb7b3:0x512119f68762d483', '0x887d490552d1ed39:0x798c3f3fd1f1b125', '0x887d49f9f400e62d:0x2ea5e5f3383f622', '0x887d49e592b9316b:0x11998c30c4548929']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x887d356effe59177:0xa600d735cbfea236?authuser=-1&hl=en&gl=us
6,Alabama,Travelodge Opelika,"Travelodge Opelika, 1002 Columbus Pkwy, Opelika, AL 36801",0x888c94a80040c3eb:0xdd97cc9c2c5dddfb,,32.6446074,-85.3536913,['Hotel'],3.5,54,,"['0x888c94a7c2863525:0xc6dd441f307a1859', '0x888c94a88a255555:0x553faaf783a56512', '0x888c94a875e975a7:0x3c1e39aff3b6078', '0x888c94a6207dd3e1:0x779b28130b648dd9']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x888c94a80040c3eb:0xdd97cc9c2c5dddfb?authuser=-1&hl=en&gl=us
7,Alabama,Shoreline Towers,"Shoreline Towers, 1155 W Beach Blvd, Gulf Shores, AL 36542",0x889a1b42b8b2c1f9:0x4427b816973ecfd6,,30.243429,-87.7157704,['Hotel'],4.3,68,,"['0x889a1b4c5a3ab711:0x980d57b26f76eadf', '0x889a04b33c8c646f:0xa3ab0ced4f366bc0', '0x889a1b4cf27cb8a7:0xfeae90a40858655a', '0x889a1b4293413b19:0x609f5664db7f3745', '0x889a1b44e3723ad3:0x87387e8ca4f6782c']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x889a1b42b8b2c1f9:0x4427b816973ecfd6?authuser=-1&hl=en&gl=us
8,Alabama,Baymont Inn & Suites Fultondale,"Baymont Inn & Suites Fultondale, 1733 Fulton Rd, Fultondale, AL 35068",0x88890491e370c9e1:0x48c8bddbb5932f49,"Low-key budget hotel offering free breakfast, plus an outdoor pool & an exercise room.",33.6097222,-86.8077778,"['Motel', 'Hotel', 'Inn', 'Lodge']",3.7,77,,"['0x888904f2ba5b7bb3:0xd58cfd66c5e4859d', '0x888904b8adbcb187:0x370ba20caa0ffdd6', '0x888904f2ca705d9f:0xc4d19c3b0e5a75e7']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88890491e370c9e1:0x48c8bddbb5932f49?authuser=-1&hl=en&gl=us
9,Alabama,"Motel 6 Enterprise, AL","Motel 6 Enterprise, AL, 101 Access Dr, Enterprise, AL 36330",0x88926eba33da6bd5:0x47b6912a46d3d20d,Laid-back rooms in a straightforward motel featuring an outdoor pool & free Wi-Fi.,31.3007996,-85.83411029999999,"['Motel', 'Hotel']",2.6,156,,"['0x88926e9073da9599:0xfeb820dc279a4000', '0x88926e93bbd6cfe1:0xf552f04d5a9ec02b', '0x88926e8c0dc94c15:0x78857008302bffd6', '0x88926c21b038fd55:0xca93d6650441985b', '0x88926eba33da6bd5:0x21b37b8d7086076']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88926eba33da6bd5:0x47b6912a46d3d20d?authuser=-1&hl=en&gl=us
