hotel_id,name
341651,San Remo Hotel
1010162985,Eastland Hotel
130707,Hilton St. Louis at the Ballpark 
124057,DoubleTree by Hilton Tampa Rocky Point Waterfront
170668,Baymont by Wyndham Adairsville
359560,Country Inn & Suites by Radisson Flagstaff
1010162631,Hotel
1010162678,Red Fox Inn
1010162821,Days Inn & Suites by Wyndham New Buffalo
667505,Americas Best Value Inn Augusta Historic Downtown
712537,Quality Inn Longmont
1010162559,5 Star Island
1010162203,Motel 6 Akron OH
1010162930,Townhouse Motor Lodge
1010162555,Best Western Long Island City
1010162532,Ramada by Wyndham Clinton
281436,German Village Inn Columbus
170994,AmericInn by Wyndham La Crosse Riverfront
353814,SureStay Studio by Best Western Virginia Beach Oce
1010162232,Premier Inn & Suites
133679,Hotel Milo Santa Barbara
842626,Ala Mar By The Sea
186186,the Alloy King of Prussia - a DoubleTree by Hilton
343874,Hotel Lumiere at the Arch Trademark Collection
1034671024,Best Western Beachside Inn
118961,Baymont By Wyndham Indianapolis Northeast
132342,Days Inn by Wyndham Runnemede Philadelphia Area
486641,Ace Hotel New Orleans
626384,Hampton Inn & Suites Reno/Sparks
168636,Best Western Plus The Inn At King Of Prussia
1034670705,Tampa Stadium Hotel
1034671085,The Riverside Hotel 
411844,Motel 6 Hazelwood
305723,Extended Stay America - Indianapolis - Northwest -
714365,HomeTowne Studios Cincinnati - Sharonville
412946,Red Roof Inn & Suites San Angelo
340818,West Beach Inn
1034670533,Residence Inn Mt Laurel at Bishop's Gate
175106,Holiday Inn Express Brandon Tampa
1034671091,Wyndham Philadelphia-Bucks County
619286,Inn at East Beach
935009,Econo Lodge Metter
1034670896,Windsor Court Hotel
13367,Crowne Plaza New Orleans French Quarter
1034670520,Carpinteria Shores
1010162134,Harbor Island Apartments
350762,Extended Stay America - Tampa - Brandon
1010162455,Flamingo Hotel
1034671018,Hotel 504
160271,DoubleTree by Hilton Philadelphia West
347396,Embassy Suites by Hilton Tucson East
1034670778,Crowne Plaza Philadelphia-Cherry Hill
209585,Days Inn by Wyndham Ozark
14750,Hampton Inn & Suites New Orleans Downtown French
1010162547,Economy Inn
1034671116,The Westin Tampa Bay
168364,Best Western St. Louis Inn
1010162584,Airport Plaza Hotel Roanoke
1010162304,Auburn Travelodge Inn and Suites
164394,Hollywood Casino St. Louis
1010162235,Howard Johnson Inn Kent
733585,Siegel Select Memphis
694973,OYO Hotel Eloy/ Casa Grande near I-10
1010162750,Grinder's Switch Inn
1010162521,Sun Suites of Suwanee
128104,Motel 6 Las Vegas Tropicana
1010162143,Wyndham Garden Trenton
305687,Red Roof Inn Indianapolis East
1010162516,Lutheranch McKanna-Sandrock Retreat Center
130507,"The Pennywell St.Louis Downtown, a Hilton Hotel"
1010162095,The Write Inn
1010162466,GREEN ROOF INN
741730,Motel 6 Phoenix West
320524,Quality Inn Suites Blue Springs Kansas City
1010161965,Eden Marina and Campground
1010162618,Howard Johnson Inn Austin I-35
1010162384,Riverwind Casino
92335,Holiday Inn Tampa Westshore - Airport Area
1010162419,Hawthorn Suites By Wyndham Jacksonville
1010162231,Elms Motel
994657,Travelodge By Wyndham Lincoln Northeast
1010162218,Yesterday's
1010162097,Econo Lodge
602419,Alexis Inn & Suites Nashville Airport
654247,SureStay Hotel by Best Western Presque Isle
1010162676,Rodeway Inn
301905,Winchester Inn & Suites Houston Intercontinental A
1010162101,The Daniel
341488,Super 8 by Wyndham San Antonio Airport North
1010162914,Hillside Inn
412414,SureStay Hotel by Best Western Helen Downtown
44846,Rodeway Inn Midtown
124142,Silver Legacy
649303,"Country Inn and Suites by Radisson, Columbia, MO"
1010162515,Fifth Ave Hotel
1010162078,Great Western Motel
322024,OYO Townhouse Orlando West
1010162390,McClain Resort
352167,Days Inn Doylestown
324870,Fiddlers Inn
1010162724,Red Lion Hotel Woodlake Sacramento
130745,Embassy Suites by Hilton Indianapolis North
285405,Hotel du Pont
83050,Seminole Hard Rock Hotel & Casino - Tampa
14820,"Hilton Garden Inn St. Pete Beach, FL"
1034670662,Bilmar Beach Resort
347883,La Quinta Inn & Suites NW Tucson Marana
1010162167,Motel 6 Williamsburg
110453,Sands Regency Casino Hotel Reno
733568,The Study Hotel At University City
1034670959,Studio 6
130663,Doubletree Hotel Philadelphia
1034670709,The Hermitage Hotel
16159,JW Marriott New Orleans
140721,Bourbon Orleans Hotel
130872,Doubletree Hotel New Orleans
13172,Ramada by Wyndham Tampa Airport Westshore
282085,Days Inn by Wyndham Clearwater/Central
159824,Hampton Inn & Suites Tucson East/Williams Center
63119,Sailport Resort Waterfront Suites on Tampa Bay
343913,Pear Tree Inn Union Station
348883,La Quinta Inn & Suites by Wyndham TampaBrandonWest
1034670766,New Hope Lodge
345114,Courtyard St. Louis Airport/Earth City
1034670742,Econo Lodge Airport @ Rj Stadium
292616,Rodeway Inn Colorado Springs
587118,DoubleTree by Hilton Denver International Airport
125946,Quality Inn Knoxville
124198,Mar Monte Hotel - In the Unbound Collection by Hya
139959,Eldorado Resort Casino
678225,Club Quarters Hotel in Philadelphia
337614,Western Village Inn & Casino at the Marina
1034670719,Baymont by Wyndham Reno
412358,Radisson Hotel Philadelphia
13082,The Warwick Hotel Rittenhouse Square
13368,Wyndham New Orleans - French Quarter
1034670548,"The Saint Hotel, Autograph Collection"
350413,Extended Stay America - Tampa - Airport - Spruce S
132236,Doubletree Collinsville/St.Louis
14730,DoubleTree by Hilton Tampa Airport - Westshore
43853,Loews Ventana Canyon Resort
104559,Loews New Orleans
412578,Super 8 by Wyndham Indianapolis South
305783,The Westin Indianapolis
1034670821,"West Wing Hotel, Ascend Hotel Collection"
144836,Quality Inn & Suites Near Fairgrounds Ybor City
39342,The Vinoy Renaissance St. Petersburg Resort & Gulf
1034670897,Grand Plaza Hotel & Beach Resort
1034670929,Innisbrook Resort
342455,Montecito Inn
614493,MainStay Suites St. Louis - Airport
13081,Wyndham Philadelphia Historic District
174653,Hyatt Place New Orleans Convention
318436,Holiday Inn Express Harvey-Marrero
1034670693,Hampton Inn Indianapolis/Carmel
1034671050,The Radnor Hotel
1034670609,Reno RV Park
802316,Le Méridien St. Louis Clayton
1034670597,Treasure Island Ocean Club
1034670695,Melrose Mansion
1034670559,Uptown Suites - Smyrna
251747,Courtyard Nashville Brentwood
1034670803,Vagabond Inn - Executive Green Valley Sahuarita
139477,Courtyard Philadelphia City Avenue
1034670812,Days Inn by Wyndham New Orleans
373731,Ramada by Wyndham Metairie New Orleans Airport
130441,Hampton Inn St. Louis-Downtown (At the Gateway Arc
765030,The Quisby
1034670617,Best Western Center City
1034670875,Tahoe House Hotel
159833,Hampton Inn Tucson-Airport
1034670629,Woodspring Suites - Nashville Southeast
1034670924,La Quinta by Wyndham Collinsville - St. Louis
1034670572,Woodspring Suites Reno Sparks
135237,La Quinta Inn Suites Boise Airport
324134,La Quinta Inn Nashville  South
1010162324,A Victory Inn
1010162040,Americas Best Value Inn Huntsville
809989,Apple Tree Inn
1010162207,Travelodge Fairbanks
1010162859,Rodeway Inn Near Florida Mall
1010162342,A1 Hotel
1010162157,Motel 6 Boston South - Braintree
1010162017,Park Motel
108952,Quality Inn & Suites Bensalem
1034670851,The Sandman Inn
1034670808,Red Roof Inn Nashville - Music City
1034670611,Sandy Shores Condominiums
409887,Hilton Garden Inn Nashville Downtown
1034670553,Element Ewing Princeton
72754,Sleep Inn & Suites
1034671087,Santa Barbara Inn
1034670627,Nepa Hut Beach Bar
